Batteries scraped off: http://www.motocalc.com/data/motor.html,,,
Batteries scraped off: http://www.motocalc.com/data/show.cgi?table=1,,,
This compilation of data is protected by copyright law. It may be freely used for personal, non-commercial purposes only. Use of this compilation for any other purpose is expressly forbidden.,,,
,,,
Name,Capacity(mAh),Voltage(V),Weight(g),C rating,Watt hours,Discharge rating,Type
A123 ANR26650 M1,2300.0,3.3,71,30.0,7590.0,69000.0,LiNP
Cermark CHM1000AR,975.0,1.2,20,0.0,1170.0,0.0,NiMH
E-One Moli IMR26700,3000.0,3.7,100,15.0,11100.0,45000.0,LiPo
E-Tec ET-0250,250.0,3.7,6,0.0,925.0,0.0,LiPo
E-Tec ET-0700,700.0,3.7,16,5.0,2590.0,3500.0,LiPo
E-Tec ET-1200,1200.0,3.7,25,5.0,4440.0,6000.0,LiPo
FlightPower 1200,1200.0,3.7,37,20.0,4440.0,24000.0,LiPo
FlightPower 1500,1500.0,3.7,44,20.0,5550.0,30000.0,LiPo
FlightPower 1800,1800.0,3.7,49,20.0,6660.0,36000.0,LiPo
FlightPower 2100,2100.0,3.7,64,20.0,7770.0,42000.0,LiPo
FlightPower 2500,2500.0,3.7,72,20.0,9250.0,50000.0,LiPo
FlightPower 3300,3300.0,3.7,95,20.0,12210.0,66000.0,LiPo
FlightPower 3700,3700.0,3.7,100,20.0,13690.0,74000.0,LiPo
FlightPower 400,400.0,3.7,19,20.0,1480.0,8000.0,LiPo
FlightPower 800,800.0,3.7,25,20.0,2960.0,16000.0,LiPo
Gold Peak GP3300,3300.0,1.2,63,12.0,3960.0,39600.0,NiMH
Gold Peak GP3700,3700.0,1.2,69,12.0,4440.0,44400.0,NiMH
Gold Peak GP750 2/3AA,750.0,1.2,15,0.0,900.0,0.0,NiMH
Great Planes Electrifly 1250,1250.0,3.7,29,20.0,4625.0,25000.0,LiPo
Great Planes Electrifly 1500,1500.0,3.7,35,20.0,5550.0,30000.0,LiPo
Great Planes Electrifly 2100,2100.0,3.7,52,20.0,7770.0,42000.0,LiPo
Great Planes Electrifly 300,300.0,3.7,8,20.0,1110.0,6000.0,LiPo
Great Planes Electrifly 3200,3200.0,3.7,78,20.0,11840.0,64000.0,LiPo
Great Planes Electrifly 5000 (est),5000.0,3.7,122,20.0,18500.0,100000.0,LiPo
Great Planes Electrifly 640,640.0,3.7,18,20.0,2368.0,12800.0,LiPo
Great Planes Electrifly 910,910.0,3.7,25,20.0,3367.0,18200.0,LiPo
Hacker TopFuel EcoX 1300mAh,1300.0,3.7,30,25.0,4810.0,32500.0,LiPo
Hacker TopFuel EcoX 1800mAh,1800.0,3.7,39,25.0,6660.0,45000.0,LiPo
Hacker TopFuel EcoX 2400mAh,2400.0,3.7,52,20.0,8880.0,48000.0,LiPo
Hacker TopFuel EcoX 3000mAh,3000.0,3.7,69,20.0,11100.0,60000.0,LiPo
Hacker TopFuel EcoX 350mAh,350.0,3.7,9,25.0,1295.0,8750.0,LiPo
Hacker TopFuel EcoX 3800mAh,3800.0,3.7,87,20.0,14060.0,76000.0,LiPo
Hacker TopFuel EcoX 4500mAh,4500.0,3.7,99,20.0,16650.0,90000.0,LiPo
Hacker TopFuel EcoX 5000mAh,5000.0,3.7,107,20.0,18500.0,100000.0,LiPo
Hacker TopFuel EcoX 5800mAh,5800.0,3.7,135,20.0,21460.0,116000.0,LiPo
Hacker TopFuel EcoX 900mAh,900.0,3.7,22,25.0,3330.0,22500.0,LiPo
Hacker TopFuel Light 1250mAh,1250.0,3.7,31,30.0,4625.0,37500.0,LiPo
Hacker TopFuel Light 1800mAh,1800.0,3.7,45,30.0,6660.0,54000.0,LiPo
Hacker TopFuel Light 2100mAh,2100.0,3.7,50,30.0,7770.0,63000.0,LiPo
Hacker TopFuel Light 2700mAh,2700.0,3.7,64,30.0,9990.0,81000.0,LiPo
Hacker TopFuel Light 3400mAh,3400.0,3.7,80,30.0,12580.0,102000.0,LiPo
Hacker TopFuel Light 4000mAh,4000.0,3.7,95,30.0,14800.0,120000.0,LiPo
Hacker TopFuel Light 4500mAh,4500.0,3.7,112,30.0,16650.0,135000.0,LiPo
Hacker TopFuel Light 450mAh,450.0,3.7,12,30.0,1665.0,13500.0,LiPo
Hacker TopFuel Light 5000mAh,5000.0,3.7,120,30.0,18500.0,150000.0,LiPo
Hacker TopFuel Light 800mAh,800.0,3.7,21,30.0,2960.0,24000.0,LiPo
Hacker TopFuel Power 1580mAh,1580.0,3.7,21,40.0,5846.0,63200.0,LiPo
Hacker TopFuel Power 2200mAh,2200.0,3.7,55,40.0,8140.0,88000.0,LiPo
Hacker TopFuel Power 2500mAh,2500.0,3.7,65,40.0,9250.0,100000.0,LiPo
Hacker TopFuel Power 350mAh,350.0,3.7,10,40.0,1295.0,14000.0,LiPo
Hacker TopFuel Power 3900mAh,3900.0,3.7,95,40.0,14430.0,156000.0,LiPo
Hacker TopFuel Power 5000mAh,5000.0,3.7,112,40.0,18500.0,200000.0,LiPo
Hacker TopFuel Power 800mAh,800.0,3.7,21,40.0,2960.0,32000.0,LiPo
Hecell HE-23AF-1050,1050.0,1.2,21,0.0,1260.0,0.0,NiMH
Hyperion HP-LCL0350,350.0,3.7,12,26.0,1295.0,9100.0,LiPo
Hyperion HP-LCL0950,950.0,3.7,28,25.0,3515.0,23750.0,LiPo
Hyperion HP-LCL2100,2100.0,3.7,41,16.0,7770.0,33600.0,LiPo
Hyperion HP-LCL4000,4000.0,3.7,104,20.0,14800.0,80000.0,LiPo
Hyperion HP-LCL4200,4200.0,3.7,91,16.0,15540.0,67200.0,LiPo
Hyperion HP-LCL4800,4800.0,3.7,123,20.0,17760.0,96000.0,LiPo
Hyperion HP-LVX0300,300.0,3.7,10,20.0,1110.0,6000.0,LiPo
Hyperion HP-LVX0400,300.0,3.7,14,20.0,1110.0,6000.0,LiPo
Hyperion HP-LVX0800,800.0,3.7,16,20.0,2960.0,16000.0,LiPo
Hyperion HP-LVX1200,1200.0,3.7,33,20.0,4440.0,24000.0,LiPo
Hyperion HP-LVX1500,1500.0,3.7,38,20.0,5550.0,30000.0,LiPo
Hyperion HP-LVX1800,1800.0,3.7,43,20.0,6660.0,36000.0,LiPo
Hyperion HP-LVX2000,2000.0,3.7,47,20.0,7400.0,40000.0,LiPo
Hyperion HP-LVX2100,2100.0,3.7,54,20.0,7770.0,42000.0,LiPo
Hyperion HP-LVX2200,2200.0,3.7,57,20.0,8140.0,44000.0,LiPo
Hyperion HP-LVX2500,2500.0,3.7,62,20.0,9250.0,50000.0,LiPo
Hyperion HP-LVX3300,3300.0,3.7,82,20.0,12210.0,66000.0,LiPo
Hyperion HP-LVX3700,3700.0,3.7,90,20.0,13690.0,74000.0,LiPo
Hyperion HP-LVX4350,4350.0,3.7,105,20.0,16095.0,87000.0,LiPo
Hyperion HP-LVX5000,5000.0,3.7,122,20.0,18500.0,100000.0,LiPo
KAN 1050,950.0,1.2,22,0.0,1140.0,0.0,NiMH
