Motors scraped off: http://www.motocalc.com/data/motor.html,,,
Motors scraped off: http://www.motocalc.com/data/show.cgi?table=1,,,
This compilation of data is protected by copyright law. It may be freely used for personal, non-commercial purposes only. Use of this compilation for any other purpose is expressly forbidden.,,,
,,,
Name,kV(kV),No_Load_Current(A),Resistance(Ohm),Weight(g)
11T Car Motor (est),5930.0,3.91,0.04,156
12T Car Motor (est),5377.0,3.46,0.047,156
15T Car Motor (est),4182.0,2.55,0.074,156
16T Car Motor (est),3889.0,2.33,0.084,156
17T Car Motor (est),3632.0,2.14,0.095,156
18T Car Motor (est),3406.0,1.98,0.106,156
19T Car Motor (est),3205.0,1.84,0.118,156
21T Car Motor (est),2863.0,1.6,0.145,156
Actro 12-3,1450.0,3.75,0.021,230
Actro 12-4,1090.0,3.25,0.03,230
Actro 12-5,880.0,2.1,0.047,230
Actro 12-6,740.0,1.45,0.066,230
Actro 24-3,740.0,3.5,0.022,352
Actro 24-4,570.0,1.9,0.04,352
Actro 24-5,435.0,0.95,0.062,352
Actro 24-6,365.0,0.95,0.089,352
Actro 40-4,320.0,1.85,0.056,522
Actro 40-5,255.0,1.0,0.083,522
Actro 40-6,210.0,1.05,0.117,522
Astro Brushless 010 14T#25 #801G w/o G.B,2300.0,0.2,0.275,37
Astro Brushless 010 14T#25 #801M,2300.0,0.2,0.275,32
Astro Brushless 010 Fan 8T#23 #801FM,4150.0,0.5,0.1,32
Astro Brushless 010 Heli 10T#24 #801HM,3570.0,0.4,0.15,32
Astro Brushless 020 5T#20 #803G w/o G.B,2567.0,1.0,0.075,71
Astro Brushless 020 5T#20 #803M,2567.0,1.0,0.07,71
Astro Brushless 020 7T#22 #802,3085.0,0.7,0.145,66
Astro Brushless 020 Corona 4T#19 #803HCM,3300.0,1.0,0.045,78
Astro Brushless 020 Fan 4T#19 #803FM,3300.0,1.0,0.045,71
Astro Brushless 020 Pylon 6T#21 #802P,3600.0,0.9,0.125,66
Astro Brushless 020 Voyagr 3T#18 #803HVM,4460.0,1.1,0.029,78
Astro Brushless 05 #805,2800.0,0.9,0.09,94
Astro Brushless 05 #805K,4000.0,1.8,0.035,94
Astro Brushless 05 #805P,4400.0,1.8,0.035,173
Astro Brushless 05 #805W,4400.0,1.8,0.035,94
Astro Brushless 05 2T#17 #806RM,4000.0,1.0,0.021,114
Astro Brushless 05 2T#18 #806PM w/o G.B,4000.0,1.0,0.021,114
Astro Brushless 05 2T#18 #806RM,4000.0,1.0,0.021,114
Astro Brushless 05 3T#18 #805D,4300.0,1.3,0.045,94
Astro Brushless 05 3T#18 #806G,2666.0,1.0,0.04,114
Astro Brushless 05 3T#18 #806G w/o G.B,2666.0,1.0,0.04,114
Astro Brushless 05 3T#18 #806PM w/o G.B,2600.0,1.0,0.04,114
Astro Brushless 05 3T#18 #806SP,2666.0,1.0,0.04,114
Astro Brushless 05 4T#19 #805G,3273.0,1.1,0.08,94
Astro Brushless 05 Fan 2T#17 #806F,4000.0,1.4,0.021,114
Astro Brushless 05 Fan 3T#18 #806F,3600.0,1.0,0.025,114
Astro Brushless 19 9T #819M,1375.0,0.45,0.09,120
Astro Brushless 25 3T#16 #825GM,2818.0,1.6,0.02,171
Astro Brushless 25 4T#17 #825GM,2050.0,1.2,0.033,171
Astro Brushless 25 5T#18 #825GM,1635.0,0.9,0.052,171
Astro Brushless 40 3T#16 #840GM,1812.0,1.6,0.025,253
Astro Brushless 40 4T#17 #840GM,1363.0,1.2,0.043,253
Astro Brushless 40 5T#18 #840GM,1090.0,0.9,0.068,253
Astro Cobalt 020 9T #602,3830.0,1.8,0.04,108
Astro Cobalt 035 7T#20 #603,2765.0,2.5,0.04,171
Astro Cobalt 035 FAI 5T#18 #604,4285.0,5.0,0.017,128
Astro Cobalt 05 7T#20 #605,2125.0,2.5,0.045,213
Astro Cobalt 05 FAI 5T#18 #608,3214.0,5.0,0.021,156
Astro Cobalt 05 FAI 6T#19 #606,2678.0,4.0,0.031,156
Astro Cobalt 05 Marine Race 4T #304,4390.0,6.5,0.016,0
Astro Cobalt 05 Marine Race 4T #306,4090.0,6.5,0.018,0
Astro Cobalt 15 10T#21 #615,1488.0,2.0,0.069,227
Astro Cobalt 25 8T#20 #625,971.0,2.0,0.093,312
Astro Cobalt 25 FAI 5T#18 #627,1475.0,4.5,0.039,298
Astro Cobalt 25 Marine Race 4T #326,1914.0,4.5,0.027,0
Astro Cobalt 40 8T#20 #640,682.0,2.0,0.121,369
Astro Cobalt 40 FAI 4T#17 #643,1364.0,5.0,0.034,327
